Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,90
2,324,107,4,4,4.5,8.87,1,80
3,316,104,3,3,3.5,8,1,70
4,322,110,3,3.5,2.5,8.67,1,80
5,314,103,2,2,3,8.21,0,70
6,330,115,5,4.5,3,9.34,1,90
7,321,109,3,3,4,8.2,1,80
8,308,101,2,3,4,7.9,0,70
9,302,102,1,2,1.5,8,0,50
10,323,108,3,3.5,3,8.6,0,50
11,325,106,3,3.5,4,8.4,1,50
12,327,111,4,4,4.5,9,1,80
13,328,112,4,4,4.5,9.1,1,80
14,307,109,3,4,3,8,1,60
15,311,104,3,3.5,2,8.2,1,60
16,314,105,3,3.5,2.5,8.3,0,50
17,317,107,3,4,3,8.7,0,70
18,319,106,3,4,3,8,1,70
19,318,110,3,4,3,8.8,0,60
20,303,102,3,3.5,3,8.5,0,60
21,312,107,3,3,2,7.9,1,60
22,325,114,4,3,2,8.4,0,70
23,328,116,5,5,5,9.5,1,90
24,334,119,5,5,4.5,9.7,1,100
25,336,119,5,4,3.5,9.8,1,100
26,340,120,5,4.5,4.5,9.6,1,90
27,322,109,5,4.5,3.5,8.8,0,80
28,298,98,2,1.5,2.5,7.5,1,40
29,295,93,1,2,2,7.2,0,50
30,310,99,2,1.5,2,7.3,0,50
31,300,97,2,3,3,8.1,1,70
32,327,103,3,4,4,8.3,1,70
33,338,118,4,3,4.5,9.4,1,90
34,340,114,5,4,4,9.6,1,90
35,331,112,5,4,5,9.8,1,90
36,320,110,5,5,5,9.2,1,90
37,299,106,2,4,4,8.4,0,60
38,300,105,1,1,2,7.8,0,60
39,304,105,1,3,1.5,7.5,0,50
40,307,108,2,4,3.5,7.7,0,50
41,308,110,3,3.5,3,8,1,50
42,316,105,2,2.5,2.5,8.2,1,50
43,313,107,2,2.5,2,8.5,1,50
44,332,117,4,4.5,4,9.1,0,90
45,326,113,5,4.5,4,9.4,1,90
46,322,110,5,5,4,9.1,1,90
47,329,114,5,4,5,9.3,1,90
48,339,119,5,4.5,4,9.7,0,90
49,321,110,3,3.5,5,8.85,1,80
50,327,111,4,3,4,8.4,1,80
51,313,98,3,2.5,4.5,8.3,1,80
52,312,100,2,1.5,3.5,7.9,1,60
53,334,116,4,4,3,8,1,80
54,324,112,4,4,2.5,8.1,1,70
55,322,110,3,3,3.5,8,0,70
56,320,103,3,3,3,7.7,0,60
57,316,102,3,2,3,7.4,0,60
58,298,99,2,4,2,7.6,0,50
59,300,99,1,3,2,6.8,1,40
60,311,104,2,2,2,8.3,0,40
61,309,100,2,3,3,8.1,0,50
62,307,101,3,4,3,8.2,0,50
63,304,105,2,3,3,8.2,1,50
64,315,107,2,4,3,8.5,1,60
65,325,111,3,3,3.5,8.7,0,50
